macAddress,timeEslapsed,RSSI, ratioRSSI, calculatedDistance, mydistance, realDistance
D9:C0:35:1C:55:5A,17744,-68,0.883116883,0.45,1.77,1.5
D9:C0:35:1C:55:5A,18910,-74,0.961038961,0.45,1.75,1.5
D9:C0:35:1C:55:5A,20090,-76,0.987012987,0.44,1.78,1.5
D9:C0:35:1C:55:5A,21208,-69,0.896103896,0.42,1.69,1.5
D9:C0:35:1C:55:5A,22328,-75,0.974025974,0.42,1.71,1.5
D9:C0:35:1C:55:5A,23512,-71,0.922077922,0.42,1.69,1.5
D9:C0:35:1C:55:5A,24614,-73,0.948051948,0.42,1.67,1.5
D9:C0:35:1C:55:5A,25781,-74,0.961038961,0.42,1.69,1.5
D9:C0:35:1C:55:5A,26915,-71,0.922077922,0.42,1.66,1.5
D9:C0:35:1C:55:5A,28080,-75,0.974025974,0.44,1.7,1.5
D9:C0:35:1C:55:5A,29201,-74,0.961038961,0.44,1.73,1.5
D9:C0:35:1C:55:5A,30353,-71,0.922077922,0.45,1.73,1.5
D9:C0:35:1C:55:5A,31530,-70,0.909090909,0.46,1.69,1.5
D9:C0:35:1C:55:5A,32660,-75,0.974025974,0.48,1.74,1.5
D9:C0:35:1C:55:5A,33795,-70,0.909090909,0.5,1.71,1.5
D9:C0:35:1C:55:5A,34935,-73,0.948051948,0.51,1.78,1.5
D9:C0:35:1C:55:5A,36070,-75,0.974025974,0.53,1.9,1.5
D9:C0:35:1C:55:5A,37203,-73,0.948051948,0.54,1.97,1.5
D9:C0:35:1C:55:5A,38360,-74,0.961038961,0.55,2.04,1.5
D9:C0:35:1C:55:5A,39514,-74,0.961038961,0.56,2.1,1.5
D9:C0:35:1C:55:5A,40668,-75,0.974025974,0.56,2.19,1.5
D9:C0:35:1C:55:5A,41801,-72,0.935064935,0.57,2.16,1.5
D9:C0:35:1C:55:5A,42945,-72,0.935064935,0.57,2.11,1.5
D9:C0:35:1C:55:5A,44099,-71,0.922077922,0.58,2.13,1.5
D9:C0:35:1C:55:5A,45263,-75,0.974025974,0.58,2.13,1.5
D9:C0:35:1C:55:5A,46403,-74,0.961038961,0.58,2.18,1.5
D9:C0:35:1C:55:5A,47511,-83,1.077922078,0.59,2.21,1.5
D9:C0:35:1C:55:5A,48685,-84,1.090909091,0.6,2.36,1.5
D9:C0:35:1C:55:5A,49805,-75,0.974025974,0.63,2.43,1.5
D9:C0:35:1C:55:5A,50927,-72,0.935064935,0.63,2.38,1.5
D9:C0:35:1C:55:5A,52043,-72,0.935064935,0.63,2.34,1.5
D9:C0:35:1C:55:5A,53181,-74,0.961038961,0.64,2.39,1.5
D9:C0:35:1C:55:5A,54284,-76,0.987012987,0.65,2.5,1.5
D9:C0:35:1C:55:5A,55404,-71,0.922077922,0.67,2.43,1.5
D9:C0:35:1C:55:5A,56525,-75,0.974025974,0.67,2.5,1.5
D9:C0:35:1C:55:5A,57641,-72,0.935064935,0.68,2.48,1.5
D9:C0:35:1C:55:5A,58774,-76,0.987012987,0.69,2.5,1.5
D9:C0:35:1C:55:5A,59885,-84,1.090909091,0.72,2.69,1.5
D9:C0:35:1C:55:5A,1101,-82,1.064935065,0.83,3.83,2
D9:C0:35:1C:55:5A,2218,-72,0.935064935,0.82,3.5,2
D9:C0:35:1C:55:5A,3339,-95,1.233766234,0.84,4.44,2
D9:C0:35:1C:55:5A,4459,-79,1.025974026,0.84,4.43,2
D9:C0:35:1C:55:5A,5576,-77,1,0.84,4.33,2
D9:C0:35:1C:55:5A,6736,-75,0.974025974,0.86,4.17,2
D9:C0:35:1C:55:5A,7856,-79,1.025974026,0.87,4.18,2
D9:C0:35:1C:55:5A,8976,-77,1,0.87,4.13,2
D9:C0:35:1C:55:5A,10108,-78,1.012987013,0.9,4.11,2
D9:C0:35:1C:55:5A,11226,-75,0.974025974,0.92,4.01,2
D9:C0:35:1C:55:5A,12356,-81,1.051948052,0.98,4.08,2
D9:C0:35:1C:55:5A,13477,-75,0.974025974,1,4,2
D9:C0:35:1C:55:5A,14603,-79,1.025974026,0.97,4.02,2
D9:C0:35:1C:55:5A,15714,-77,1,0.98,3.99,2
D9:C0:35:1C:55:5A,16833,-80,1.038961039,0.99,3.78,2
D9:C0:35:1C:55:5A,17952,-75,0.974025974,0.98,3.78,2
D9:C0:35:1C:55:5A,19100,-76,0.987012987,0.98,3.76,2
D9:C0:35:1C:55:5A,20218,-77,1,0.98,3.81,2
D9:C0:35:1C:55:5A,21336,-85,1.103896104,0.98,3.94,2
D9:C0:35:1C:55:5A,22460,-73,0.948051948,0.98,3.81,2
D9:C0:35:1C:55:5A,23582,-83,1.077922078,0.99,3.83,2
D9:C0:35:1C:55:5A,24697,-75,0.974025974,0.98,3.88,2
D9:C0:35:1C:55:5A,25821,-81,1.051948052,0.99,3.78,2
D9:C0:35:1C:55:5A,26937,-77,1,0.99,3.74,2
D9:C0:35:1C:55:5A,28073,-76,0.987012987,0.99,3.72,2
D9:C0:35:1C:55:5A,29196,-78,1.012987013,0.99,3.78,2
D9:C0:35:1C:55:5A,30318,-79,1.025974026,0.98,3.78,2
D9:C0:35:1C:55:5A,31437,-75,0.974025974,0.98,3.74,2
D9:C0:35:1C:55:5A,32639,-76,0.987012987,0.97,3.69,2
D9:C0:35:1C:55:5A,33760,-77,1,0.99,3.74,2
D9:C0:35:1C:55:5A,34883,-77,1,0.97,3.65,2
D9:C0:35:1C:55:5A,36002,-76,0.987012987,0.97,3.67,2
D9:C0:35:1C:55:5A,37122,-77,1,0.98,3.63,2
D9:C0:35:1C:55:5A,38237,-76,0.987012987,0.97,3.6,2
D9:C0:35:1C:55:5A,39361,-78,1.012987013,0.98,3.56,2
D9:C0:35:1C:55:5A,40473,-75,0.974025974,0.96,3.56,2
D9:C0:35:1C:55:5A,41597,-74,0.961038961,0.93,3.52,2
D9:C0:35:1C:55:5A,42739,-77,1,0.94,3.52,2
D9:C0:35:1C:55:5A,43834,-80,1.038961039,0.94,3.45,2
D9:C0:35:1C:55:5A,44963,-75,0.974025974,0.94,3.47,2
D9:C0:35:1C:55:5A,46094,-79,1.025974026,0.94,3.43,2
D9:C0:35:1C:55:5A,47204,-74,0.961038961,0.93,3.41,2
D9:C0:35:1C:55:5A,48323,-75,0.974025974,0.91,3.3,2
D9:C0:35:1C:55:5A,49441,-77,1,0.9,3.3,2
D9:C0:35:1C:55:5A,50560,-79,1.025974026,0.91,3.37,2
D9:C0:35:1C:55:5A,51684,-78,1.012987013,0.9,3.37,2
D9:C0:35:1C:55:5A,52811,-75,0.974025974,0.9,3.28,2
D9:C0:35:1C:55:5A,53929,-76,0.987012987,0.89,3.3,2
D9:C0:35:1C:55:5A,55050,-76,0.987012987,0.9,3.3,2
D9:C0:35:1C:55:5A,56171,-76,0.987012987,0.89,3.28,2
D9:C0:35:1C:55:5A,57309,-74,0.961038961,0.89,3.22,2
D9:C0:35:1C:55:5A,58409,-73,0.948051948,0.88,3.18,2
D9:C0:35:1C:55:5A,59545,-71,0.922077922,0.86,3.1,2
D9:C0:35:1C:55:5A,221,-73,0.948051948,1.01,3.28,3
D9:C0:35:1C:55:5A,1372,-84,1.090909091,1.02,3.64,3
D9:C0:35:1C:55:5A,2525,-84,1.090909091,1.03,3.94,3
D9:C0:35:1C:55:5A,3658,-76,0.987012987,1.02,3.86,3
D9:C0:35:1C:55:5A,4799,-78,1.012987013,1.02,3.86,3
D9:C0:35:1C:55:5A,5913,-86,1.116883117,1.04,4.15,3
D9:C0:35:1C:55:5A,7103,-75,0.974025974,1.03,4.03,3
D9:C0:35:1C:55:5A,8266,-83,1.077922078,1.03,4.17,3
D9:C0:35:1C:55:5A,9388,-79,1.025974026,1.03,4.18,3
D9:C0:35:1C:55:5A,10538,-74,0.961038961,1.01,4.06,3
D9:C0:35:1C:55:5A,11644,-78,1.012987013,1,4.05,3
D9:C0:35:1C:55:5A,12803,-73,0.948051948,0.98,3.92,3
D9:C0:35:1C:55:5A,13916,-80,1.038961039,0.98,3.96,3
D9:C0:35:1C:55:5A,15111,-78,1.012987013,0.99,3.9,3
D9:C0:35:1C:55:5A,16192,-74,0.961038961,0.99,3.76,3
D9:C0:35:1C:55:5A,17367,-74,0.961038961,0.96,3.6,3
D9:C0:35:1C:55:5A,18497,-78,1.012987013,0.98,3.67,3
D9:C0:35:1C:55:5A,19616,-77,1,0.99,3.72,3
D9:C0:35:1C:55:5A,20747,-75,0.974025974,0.99,3.69,3
D9:C0:35:1C:55:5A,21949,-76,0.987012987,0.96,3.72,3
D9:C0:35:1C:55:5A,23112,-79,1.025974026,0.94,3.85,3
D9:C0:35:1C:55:5A,24205,-75,0.974025974,0.92,3.65,3
D9:C0:35:1C:55:5A,25335,-88,1.142857143,0.92,3.69,3
D9:C0:35:1C:55:5A,26637,-71,0.922077922,0.89,3.63,3
D9:C0:35:1C:55:5A,27747,-79,1.025974026,0.88,3.65,3
D9:C0:35:1C:55:5A,28888,-73,0.948051948,0.86,3.37,3
D9:C0:35:1C:55:5A,30029,-71,0.922077922,0.85,3.28,3
D9:C0:35:1C:55:5A,31190,-71,0.922077922,0.84,3.04,3
D9:C0:35:1C:55:5A,32328,-73,0.948051948,0.82,2.92,3
D9:C0:35:1C:55:5A,33484,-71,0.922077922,0.8,2.86,3
D9:C0:35:1C:55:5A,34598,-78,1.012987013,0.79,2.86,3
D9:C0:35:1C:55:5A,35773,-74,0.961038961,0.77,2.88,3
D9:C0:35:1C:55:5A,36881,-76,0.987012987,0.8,2.81,3
D9:C0:35:1C:55:5A,38006,-75,0.974025974,0.8,2.75,3
D9:C0:35:1C:55:5A,39194,-73,0.948051948,0.79,2.73,3
D9:C0:35:1C:55:5A,40352,-75,0.974025974,0.79,2.75,3
D9:C0:35:1C:55:5A,41507,-83,1.077922078,0.8,2.84,3
D9:C0:35:1C:55:5A,42644,-75,0.974025974,0.82,2.81,3
D9:C0:35:1C:55:5A,43786,-77,1,0.8,2.84,3
